count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
21027,2019,3,Scotland,3,"Glasgow City",A736,Major,"B762 Barrhead Road",A761,252100,662400,55.83209900,-4.36293690,2.70,1.68,Counted,"Manual count",70,16,8887,205,1009,46,14,22,7,8,4,101,10217
10821,2019,3,Scotland,3,"Glasgow City",A8,Major,A89,A803,260000,665330,55.86076200,-4.23842910,1.00,0.62,Estimated,"Estimated using previous year's AADF on this link",91,39,12605,167,2525,319,32,18,12,15,8,403,15739
61,2019,3,Scotland,3,"Glasgow City",A8,Major,M8,"Morrison Street",257982,664405,55.85186700,-4.27015900,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",80,46,6376,113,1164,116,25,24,7,15,20,207,7905
40816,2019,3,Scotland,3,"Glasgow City",A8,Major,A739,B768,253800,665000,55.85595800,-4.33722120,1.80,1.12,Estimated,"Estimated using previous year's AADF on this link",116,63,15073,188,2362,369,81,62,9,31,41,592,18278
30839,2019,3,Scotland,3,"Glasgow City",A77,Major,"B768 Langside Avenue","B763 Nithsdale Drive",258000,662780,55.83728300,-4.26902120,1.00,0.62,Estimated,"Estimated using previous year's AADF on this link",269,56,10383,980,1798,198,29,6,6,3,2,243,13460
74416,2019,3,Scotland,3,"Glasgow City",A74,Major,"LA Boundary","M74 jn3",267990,662330,55.83608000,-4.10940860,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",70,43,17788,205,3755,421,121,141,78,88,115,963,22754
1090,2019,3,Scotland,3,"Glasgow City",A730,Major,A728,A8,259000,664200,55.85032500,-4.25380510,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",423,16,4617,1476,467,43,7,9,2,2,2,64,6640
11020,2019,3,Scotland,3,"Glasgow City",A739,Major,M8,A8,253600,665000,55.85589800,-4.34041340,0.30,0.19,Counted,"Automatic counter",1,117,31878,65,6727,537,149,269,11,34,158,1159,39946
40918,2019,3,Scotland,3,"Glasgow City",A803,Major,A804,"B808 Springburn Road",260400,667300,55.87856500,-4.23305870,1.90,1.18,Estimated,"Estimated using previous year's AADF on this link",116,63,24934,379,3320,246,55,46,25,102,61,536,29232
10836,2019,3,Scotland,3,"Glasgow City",A74,Major,M74,"B7058 Mount Vernon Avenue",267494,662519,55.83764100,-4.11741450,1.60,0.99,Estimated,"Estimated using previous year's AADF on this link",84,49,8131,223,1093,121,150,233,13,74,46,637,10132
