,RecTime,measurementSiteReference,basicDataValue.vehicleFlow
1142,2021-12-02T20:21:08,GB1351_B,8
1144,2021-12-02T20:21:08,GB1351_A,11
1146,2021-12-02T20:21:08,GI0401_S,24
1148,2021-12-02T20:21:08,GI0401_R,22
1150,2021-12-02T20:21:08,GE0271_D,8
1152,2021-12-02T20:21:08,GE0271_C,27
1154,2021-12-02T20:21:08,GK0301_D,22
1156,2021-12-02T20:21:08,GE0271_A,25
1158,2021-12-02T20:21:08,GK0301_C,21
1160,2021-12-02T20:21:08,GK0301_B,27
1162,2021-12-02T20:21:08,GG050A_D,9
1164,2021-12-02T20:21:08,GG050A_C,3
1166,2021-12-02T20:21:08,GA4971_T,22
1168,2021-12-02T20:21:08,GA4971_S,11
1170,2021-12-02T20:21:08,GA4971_R,11
1172,2021-12-02T20:21:08,GH2701_G,0
1174,2021-12-02T20:21:08,GH2701_E,0
1176,2021-12-02T20:21:08,GH2701_D,0
1178,2021-12-02T20:21:08,GL1101_V,0
1180,2021-12-02T20:21:08,GL1101_T,0
1182,2021-12-02T20:21:08,GH0401_V,9
1184,2021-12-02T20:21:08,GL1101_S,0
1186,2021-12-02T20:21:08,GH0401_T,10
1188,2021-12-02T20:21:08,GH0401_S,4
1190,2021-12-02T20:21:08,GC2151_F,13
1192,2021-12-02T20:21:08,GC2151_E,14
1194,2021-12-02T20:21:08,GC2151_D,4
1196,2021-12-02T20:21:08,GC2151_B,19
1198,2021-12-02T20:21:08,GC2151_A,16
1200,2021-12-02T20:21:08,GD205A_B,17
1202,2021-12-02T20:21:08,GD205A_A,11
1204,2021-12-02T20:21:08,GH3171_G,4
1206,2021-12-02T20:21:08,GH3171_D,14
1208,2021-12-02T20:21:08,GH3171_C,8
1210,2021-12-02T20:21:08,GJ252A_C,0
1212,2021-12-02T20:21:08,GL285A_D,0
1214,2021-12-02T20:21:08,GD0601_D,6
1216,2021-12-02T20:21:08,GD0601_B,20
1218,2021-12-02T20:21:08,GD0601_A,14
1220,2021-12-02T20:21:08,GA4451_D,17
1222,2021-12-02T20:21:08,GA4451_C,15
1224,2021-12-02T20:21:08,GA4451_A,18
1226,2021-12-02T20:21:08,GA070A_S,35
1228,2021-12-02T20:21:08,GB0701_D,35
1230,2021-12-02T20:21:08,GB0701_C,19
1232,2021-12-02T20:21:08,GB0701_B,0
1234,2021-12-02T20:21:08,GA2151_V,0
1236,2021-12-02T20:21:08,GA2151_S,0
1238,2021-12-02T20:21:08,GL0551_D,7
1240,2021-12-02T20:21:08,GL0551_B,14
1242,2021-12-02T20:21:08,GL0551_A,19
1244,2021-12-02T20:21:08,GK0551_W,4
1246,2021-12-02T20:21:08,GG2621_D,12
1248,2021-12-02T20:21:08,GK0551_V,44
1250,2021-12-02T20:21:08,GG2621_C,10
1252,2021-12-02T20:21:08,GG2621_B,8
1254,2021-12-02T20:21:08,GG2621_A,6
1256,2021-12-02T20:21:08,GK0551_T,26
1258,2021-12-02T20:21:08,GK0551_R,0
1260,2021-12-02T20:21:08,GA5251_V,26
1262,2021-12-02T20:21:08,GD1401_N,10
1264,2021-12-02T20:21:08,GA5251_T,24
1266,2021-12-02T20:21:08,GA5251_S,4
1268,2021-12-02T20:21:08,GA5251_R,6
1270,2021-12-02T20:21:08,GC095A_V,0
1272,2021-12-02T20:21:08,GI0651_G,0
1274,2021-12-02T20:21:08,GC095A_T,0
1276,2021-12-02T20:21:08,GI0651_D,0
1278,2021-12-02T20:21:08,GI0651_C,0
1280,2021-12-02T20:21:08,GI0651_B,0
1282,2021-12-02T20:21:08,GD2721_S,13
1284,2021-12-02T20:21:08,GD2721_R,0
1286,2021-12-02T20:21:08,GG210A_B,0
1288,2021-12-02T20:21:08,GG210A_A,0
1290,2021-12-02T20:21:08,GJ0131_M,16
1292,2021-12-02T20:21:08,GJ3751_D,0
1294,2021-12-02T20:21:08,GJ0131_D,17
1296,2021-12-02T20:21:08,GJ3751_C,0
1298,2021-12-02T20:21:08,GJ0131_C,29
1300,2021-12-02T20:21:08,GJ0131_B,0
1302,2021-12-02T20:21:08,GJ3751_A,0
1304,2021-12-02T20:21:08,GA1501_T,14
1306,2021-12-02T20:21:08,GH2001_R,12
1308,2021-12-02T20:21:08,GL1351_C,9
1310,2021-12-02T20:21:08,GL1351_B,22
1312,2021-12-02T20:21:08,GL1351_A,15
1314,2021-12-02T20:21:08,GF210A_D,13
1316,2021-12-02T20:21:08,GF210A_C,8
1318,2021-12-02T20:21:08,GA4601_R,0
1320,2021-12-02T20:21:08,GH1021_T,3
1322,2021-12-02T20:21:08,GH1021_S,7
1324,2021-12-02T20:21:08,GH1021_R,6
1326,2021-12-02T20:21:08,GK037A_Q,35
1328,2021-12-02T20:21:08,GK037A_P,25
1330,2021-12-02T20:21:08,GG1551_D,6
1332,2021-12-02T20:21:08,GG1551_B,8
1334,2021-12-02T20:21:08,GG1551_A,4
1336,2021-12-02T20:21:08,GC1751_T,9
1338,2021-12-02T20:21:08,GL1691_S,14
1340,2021-12-02T20:21:08,GC1751_S,14
1342,2021-12-02T20:21:08,GL1691_R,18
1344,2021-12-02T20:21:08,GC1751_R,28
1346,2021-12-02T20:21:08,GC1751_P,7
1348,2021-12-02T20:21:08,GA2301_E,0
1350,2021-12-02T20:21:08,GA2301_C,0
1352,2021-12-02T20:21:08,GA2301_B,0
1354,2021-12-02T20:21:08,GA2301_A,0
1356,2021-12-02T20:21:08,GB1321_N,2
1358,2021-12-02T20:21:08,GB1321_M,12
1360,2021-12-02T20:21:08,GK070A_D,0
1362,2021-12-02T20:21:08,GK070A_C,0
1364,2021-12-02T20:21:08,GA5401_X,17
1366,2021-12-02T20:21:08,GA5401_V,41
1368,2021-12-02T20:21:08,GJ250B_T,0
1370,2021-12-02T20:21:08,GA5401_T,21
1372,2021-12-02T20:21:08,GG2351_V,11
1374,2021-12-02T20:21:08,GG2351_T,14
1376,2021-12-02T20:21:08,GG2351_S,21
1378,2021-12-02T20:21:08,GG2351_R,13
1380,2021-12-02T20:21:08,GH4551_K,0
1382,2021-12-02T20:21:08,GH4551_J,0
1384,2021-12-02T20:21:08,GA1321_C,12
1386,2021-12-02T20:21:08,GA1321_B,13
1388,2021-12-02T20:21:08,GD0671_B,30
1390,2021-12-02T20:21:08,GD0671_A,15
1392,2021-12-02T20:21:08,GJ3051_F,22
1394,2021-12-02T20:21:08,GC0251_W,0
1396,2021-12-02T20:21:08,GJ3051_E,10
1398,2021-12-02T20:21:08,GC0251_T,0
1400,2021-12-02T20:21:08,GJ3051_B,18
1402,2021-12-02T20:21:08,GL1501_A,0
1404,2021-12-02T20:21:08,GJ3051_A,6
1406,2021-12-02T20:21:08,GC0251_R,0
1408,2021-12-02T20:21:08,GL142B_B,15
1410,2021-12-02T20:21:08,GD2451_D,9
1412,2021-12-02T20:21:08,GA4851_V,14
1414,2021-12-02T20:21:08,GD2451_B,31
1416,2021-12-02T20:21:08,GD2451_A,28
1418,2021-12-02T20:21:08,GA4851_S,24
1420,2021-12-02T20:21:08,GA4851_R,6
1422,2021-12-02T20:21:08,GD0151_V,22
1424,2021-12-02T20:21:08,GD0151_S,16
1426,2021-12-02T20:21:08,GD0151_R,29
1428,2021-12-02T20:21:08,GB0251_T,18
1430,2021-12-02T20:21:08,GL0521_V,15
1432,2021-12-02T20:21:08,GB0251_S,18
1434,2021-12-02T20:21:08,GL0521_S,15
1436,2021-12-02T20:21:08,GL0521_R,12
1438,2021-12-02T20:21:08,GA2551_T,0
1440,2021-12-02T20:21:08,GA2551_S,0
1442,2021-12-02T20:21:08,GE1801_G,0
1444,2021-12-02T20:21:08,GE1801_F,0
1446,2021-12-02T20:21:08,GH3051_D,2
1448,2021-12-02T20:21:08,GH3051_C,12
1450,2021-12-02T20:21:08,GE1801_C,0
1452,2021-12-02T20:21:08,GK4601_T,18
1454,2021-12-02T20:21:08,GH3051_B,4
1456,2021-12-02T20:21:08,GH3051_A,7
1458,2021-12-02T20:21:08,GE1801_A,0
1460,2021-12-02T20:21:08,GA0251_E,0
1462,2021-12-02T20:21:08,GA0251_D,0
1464,2021-12-02T20:21:08,GA0251_C,0
1466,2021-12-02T20:21:08,GA0251_A,0
1468,2021-12-02T20:21:08,GJ2401_D,0
1470,2021-12-02T20:21:08,GJ2401_A,0
1472,2021-12-02T20:21:08,GA1571_T,15
1474,2021-12-02T20:21:08,GA1571_Q,13
1476,2021-12-02T20:21:08,GC237A_B,40
1478,2021-12-02T20:21:08,GC237A_A,42
1480,2021-12-02T20:21:08,GA1901_N,29
1482,2021-12-02T20:21:08,GA3351_A,0
1484,2021-12-02T20:21:08,GA1901_H,14
1486,2021-12-02T20:21:08,GA1901_F,9
1488,2021-12-02T20:21:08,GA1051_S,11
1490,2021-12-02T20:21:08,GA1901_B,1
1492,2021-12-02T20:21:08,GJ3201_V,0
1494,2021-12-02T20:21:08,GA1051_P,16
1496,2021-12-02T20:21:08,GJ3201_T,0
1498,2021-12-02T20:21:08,GJ3201_S,0
1500,2021-12-02T20:21:08,GJ3201_R,0
1502,2021-12-02T20:21:08,GE0301_V,16
1504,2021-12-02T20:21:08,GE0301_T,26
1506,2021-12-02T20:21:08,GE0301_S,8
1508,2021-12-02T20:21:08,GE0301_R,19
1510,2021-12-02T20:21:08,GD260A_B,0
1512,2021-12-02T20:21:08,GD260A_A,0
1514,2021-12-02T20:21:08,GD030A_S,23
1516,2021-12-02T20:21:08,GD030A_R,30
1518,2021-12-02T20:21:08,GH0101_B,12
1520,2021-12-02T20:21:08,GH0101_A,10
1522,2021-12-02T20:21:08,GA4151_V,0
1524,2021-12-02T20:21:08,GB0401_X,40
1526,2021-12-02T20:21:08,GB0401_V,18
1528,2021-12-02T20:21:08,GC4051_F,2
1530,2021-12-02T20:21:08,GC4051_D,4
1532,2021-12-02T20:21:08,GC4051_B,10
1534,2021-12-02T20:21:08,GB0401_R,0
1536,2021-12-02T20:21:08,GC4051_A,0
1538,2021-12-02T20:21:08,GH320A_B,5
1540,2021-12-02T20:21:08,GH320A_A,0
1542,2021-12-02T20:21:08,GA2701_D,0
1544,2021-12-02T20:21:08,GA2701_B,0
1546,2021-12-02T20:21:08,GA0401_T,4
1548,2021-12-02T20:21:08,GA0401_S,40
1550,2021-12-02T20:21:08,GA0401_R,2
1552,2021-12-02T20:21:08,GC120A_G,21
1554,2021-12-02T20:21:08,GA5471_D,29
1556,2021-12-02T20:21:08,GA5471_C,2
1558,2021-12-02T20:21:08,GA5471_B,18
1560,2021-12-02T20:21:08,GC1631_X,1
1562,2021-12-02T20:21:08,GC1631_W,2
1564,2021-12-02T20:21:08,GC1631_V,9
1566,2021-12-02T20:21:08,GJ0351_D,15
1568,2021-12-02T20:21:08,GH4521_E,0
1570,2021-12-02T20:21:08,GJ0351_C,9
1572,2021-12-02T20:21:08,GC1631_R,13
1574,2021-12-02T20:21:08,GJ0351_B,5
1576,2021-12-02T20:21:08,GJ0351_A,7
1578,2021-12-02T20:21:08,GK0251_V,28
1580,2021-12-02T20:21:08,GK0251_T,9
1582,2021-12-02T20:21:08,GK0251_R,18
1584,2021-12-02T20:21:08,GG2751_D,4
1586,2021-12-02T20:21:08,GG2751_B,10
1588,2021-12-02T20:21:08,GG2751_A,26
1590,2021-12-02T20:21:08,GG0021_C,5
1592,2021-12-02T20:21:08,GG0021_B,7
1594,2021-12-02T20:21:08,GB1201_E,35
1596,2021-12-02T20:21:08,GG0021_A,20
1598,2021-12-02T20:21:08,GL1901_T,3
1600,2021-12-02T20:21:08,GL1901_S,13
1602,2021-12-02T20:21:08,GB1201_A,19
1604,2021-12-02T20:21:08,GL1901_P,7
1606,2021-12-02T20:21:08,GE0551_S,0
1608,2021-12-02T20:21:08,GE0551_R,0
1610,2021-12-02T20:21:08,GA1201_H,0
1612,2021-12-02T20:21:08,GA1201_D,0
1614,2021-12-02T20:21:08,GA1201_C,0
1616,2021-12-02T20:21:08,GA1201_B,0
1618,2021-12-02T20:21:08,GD0551_X,3
1620,2021-12-02T20:21:08,GA1201_A,0
1622,2021-12-02T20:21:08,GD0551_W,4
1624,2021-12-02T20:21:08,GD0551_V,3
1626,2021-12-02T20:21:08,GD0551_S,12
1628,2021-12-02T20:21:08,GD0551_R,12
1630,2021-12-02T20:21:08,GB0651_V,9
1632,2021-12-02T20:21:08,GB0651_T,22
1634,2021-12-02T20:21:08,GB0651_R,21
1636,2021-12-02T20:21:08,GA2951_V,0
1638,2021-12-02T20:21:08,GA2951_T,0
1640,2021-12-02T20:21:08,GA2951_R,0
1642,2021-12-02T20:21:08,GK5131_C,0
1644,2021-12-02T20:21:08,GK5131_A,2
1646,2021-12-02T20:21:08,GK2371_X,2
1648,2021-12-02T20:21:08,GK2371_W,8
1650,2021-12-02T20:21:08,GH3451_N,5
1652,2021-12-02T20:21:08,GH3451_M,3
1654,2021-12-02T20:21:08,GK2371_T,18
1656,2021-12-02T20:21:08,GH3451_L,6
1658,2021-12-02T20:21:08,GH3451_K,18
1660,2021-12-02T20:21:08,GK2371_R,3
1662,2021-12-02T20:21:08,GL4151_C,3
1664,2021-12-02T20:21:08,GL4151_B,1
1666,2021-12-02T20:21:08,GA4301_D,0
1668,2021-12-02T20:21:08,GA4301_A,0
1670,2021-12-02T20:21:08,GJ0171_D,25
1672,2021-12-02T20:21:08,GG2571_W,5
1674,2021-12-02T20:21:08,GG2571_V,18
1676,2021-12-02T20:21:08,GJ0171_B,9
1678,2021-12-02T20:21:08,GJ0171_A,30
1680,2021-12-02T20:21:08,GG2571_S,18
1682,2021-12-02T20:21:08,GL0401_Y,0
1684,2021-12-02T20:21:08,GG2571_R,18
1686,2021-12-02T20:21:08,GA0651_D,35
1688,2021-12-02T20:21:08,GA0651_C,4
1690,2021-12-02T20:21:08,GL0401_V,17
1692,2021-12-02T20:21:08,GA0651_B,26
1694,2021-12-02T20:21:08,GA0651_A,5
1696,2021-12-02T20:21:08,GJ2801_D,35
1698,2021-12-02T20:21:08,GJ2801_C,14
1700,2021-12-02T20:21:08,GL0401_S,2
1702,2021-12-02T20:21:08,GL0401_R,18
1704,2021-12-02T20:21:08,GJ2801_B,18
1706,2021-12-02T20:21:08,GB145A_R,14
1708,2021-12-02T20:21:08,GA2001_C,0
1710,2021-12-02T20:21:08,GA2001_B,0
1712,2021-12-02T20:21:08,GD1351_Y,36
1714,2021-12-02T20:21:08,GD1351_U,9
1716,2021-12-02T20:21:08,GD1351_R,79
1718,2021-12-02T20:21:08,GD1351_Q,8
1720,2021-12-02T20:21:08,GG2051_W,7
1722,2021-12-02T20:21:08,GG2051_T,1
1724,2021-12-02T20:21:08,GG2051_S,13
1726,2021-12-02T20:21:08,GG2051_R,16
1728,2021-12-02T20:21:08,GK0401_D,36
1730,2021-12-02T20:21:08,GK0401_C,20
1732,2021-12-02T20:21:08,GK0401_B,9
1734,2021-12-02T20:21:08,GE2151_V,34
1736,2021-12-02T20:21:08,GE2151_T,20
1738,2021-12-02T20:21:08,GE2151_S,0
1740,2021-12-02T20:21:08,GF205A_V,8
1742,2021-12-02T20:21:08,GE2151_R,9
1744,2021-12-02T20:21:08,GA1451_S,0
1746,2021-12-02T20:21:08,GF205A_T,0
1748,2021-12-02T20:21:08,GA1451_R,0
1750,2021-12-02T20:21:08,GH050A_S,10
1752,2021-12-02T20:21:08,GH050A_R,0
1754,2021-12-02T20:21:08,GA1451_M,0
1756,2021-12-02T20:21:08,GD2151_S,17
1758,2021-12-02T20:21:08,GD2151_R,19
1760,2021-12-02T20:21:08,GD2151_P,9
1762,2021-12-02T20:21:08,GH3271_N,6
1764,2021-12-02T20:21:08,GH3271_M,7
1766,2021-12-02T20:21:08,GH3271_L,21
1768,2021-12-02T20:21:08,GH3271_K,9
1770,2021-12-02T20:21:08,GA4551_V,3
1772,2021-12-02T20:21:08,GA4551_T,18
1774,2021-12-02T20:21:08,GA4551_S,11
1776,2021-12-02T20:21:08,GH4502_H,0
1778,2021-12-02T20:21:08,GH4502_C,0
1780,2021-12-02T20:21:08,GA2251_V,0
1782,2021-12-02T20:21:08,GA2251_R,0
1784,2021-12-02T20:21:08,GA1361_C,5
1786,2021-12-02T20:21:08,GA1361_B,22
1788,2021-12-02T20:21:08,GG272A_S,16
1790,2021-12-02T20:21:08,GG272A_R,9
1792,2021-12-02T20:21:08,GC1601_T,8
1794,2021-12-02T20:21:08,GC1601_S,35
1796,2021-12-02T20:21:08,GC1601_R,16
1798,2021-12-02T20:21:08,GC1601_P,13
1800,2021-12-02T20:21:08,GB1271_D,35
1802,2021-12-02T20:21:08,GB1271_C,0
1804,2021-12-02T20:21:08,GB1271_B,9
1806,2021-12-02T20:21:08,GA5351_V,20
1808,2021-12-02T20:21:08,GA5351_T,42
1810,2021-12-02T20:21:08,GA5351_R,15
1812,2021-12-02T20:21:08,GE052A_B,22
1814,2021-12-02T20:21:08,GE052A_A,14
1816,2021-12-02T20:21:08,GD1501_A,23
1818,2021-12-02T20:21:08,GH2621_D,0
1820,2021-12-02T20:21:08,GH2621_C,0
1822,2021-12-02T20:21:08,GH2621_A,9
1824,2021-12-02T20:21:08,GB1601_B,7
1826,2021-12-02T20:21:08,GG220A_B,19
1828,2021-12-02T20:21:08,GB1601_A,10
1830,2021-12-02T20:21:08,GG220A_A,19
1832,2021-12-02T20:21:08,GL1451_H,13
1834,2021-12-02T20:21:08,GE2301_D,13
1836,2021-12-02T20:21:08,GE2301_C,20
1838,2021-12-02T20:21:08,GE2301_A,13
1840,2021-12-02T20:21:08,GA1601_A,17
1842,2021-12-02T20:21:08,GC2401_C,0
1844,2021-12-02T20:21:08,GC2401_B,0
1846,2021-12-02T20:21:08,GC2401_A,0
1848,2021-12-02T20:21:08,GK5101_D,9
1850,2021-12-02T20:21:08,GK5101_C,8
1852,2021-12-02T20:21:08,GA4371_C,20
1854,2021-12-02T20:21:08,GA4371_B,11
1856,2021-12-02T20:21:08,GF2201_H,1
1858,2021-12-02T20:21:08,GK5101_A,4
1860,2021-12-02T20:21:08,GA4371_A,4
1862,2021-12-02T20:21:08,GC0101_W,0
1864,2021-12-02T20:21:08,GF2201_G,9
1866,2021-12-02T20:21:08,GC0101_V,0
1868,2021-12-02T20:21:08,GF2201_F,10
1870,2021-12-02T20:21:08,GC0101_T,0
1872,2021-12-02T20:21:08,GF2201_D,16
1874,2021-12-02T20:21:08,GC0101_S,0
1876,2021-12-02T20:21:08,GF2201_C,22
1878,2021-12-02T20:21:08,GC0101_R,0
1880,2021-12-02T20:21:08,GJ0141_X,6
1882,2021-12-02T20:21:08,GC0101_L,0
1884,2021-12-02T20:21:08,GJ0141_V,32
1886,2021-12-02T20:21:08,GJ0141_T,23
1888,2021-12-02T20:21:08,GD2301_D,17
1890,2021-12-02T20:21:08,GD2301_C,10
1892,2021-12-02T20:21:08,GD2301_B,31
1894,2021-12-02T20:21:08,GD2301_A,14
1896,2021-12-02T20:21:08,GC185A_S,16
1898,2021-12-02T20:21:08,GC185A_R,23
1900,2021-12-02T20:21:08,GA4701_D,14
1902,2021-12-02T20:21:08,GA4701_C,4
1904,2021-12-02T20:21:08,GA4701_A,0
1906,2021-12-02T20:21:08,GG3001_C,9
1908,2021-12-02T20:21:08,GG3001_B,9
1910,2021-12-02T20:21:08,GG3001_A,9
1912,2021-12-02T20:21:08,GB0101_C,8
1914,2021-12-02T20:21:08,GB0101_B,0
1916,2021-12-02T20:21:08,GD310A_R,12
1918,2021-12-02T20:21:08,GA2401_D,33
1920,2021-12-02T20:21:08,GA2401_B,6
1922,2021-12-02T20:21:08,GA2401_A,0
1924,2021-12-02T20:21:08,GA5171_D,6
1926,2021-12-02T20:21:08,GA5171_B,22
1928,2021-12-02T20:21:08,GJ0051_D,0
1930,2021-12-02T20:21:08,GJ0051_C,10
1932,2021-12-02T20:21:08,GJ0051_B,9
1934,2021-12-02T20:21:08,GJ0051_A,8
1936,2021-12-02T20:21:08,GK0801_H,0
1938,2021-12-02T20:21:08,GK0801_G,0
1940,2021-12-02T20:21:08,GG2021_C,4
1942,2021-12-02T20:21:08,GG2021_B,0
1944,2021-12-02T20:21:08,GK0801_D,20
1946,2021-12-02T20:21:08,GG2021_A,8
1948,2021-12-02T20:21:08,GK0801_A,4
1950,2021-12-02T20:21:08,GH090A_V,0
1952,2021-12-02T20:21:08,GA5501_D,9
1954,2021-12-02T20:21:08,GA5501_C,19
1956,2021-12-02T20:21:08,GH090A_T,0
1958,2021-12-02T20:21:08,GA5501_B,4
1960,2021-12-02T20:21:08,GA5501_A,13
1962,2021-12-02T20:21:08,GG015A_B,15
1964,2021-12-02T20:21:08,GG015A_A,18
1966,2021-12-02T20:21:08,GD255A_S,21
1968,2021-12-02T20:21:08,GA1851_F,0
1970,2021-12-02T20:21:08,GD255A_R,35
1972,2021-12-02T20:21:08,GA1851_E,15
1974,2021-12-02T20:21:08,GA1851_C,4
1976,2021-12-02T20:21:08,GA1851_B,22
1978,2021-12-02T20:21:08,GI0051_C,0
1980,2021-12-02T20:21:08,GA1851_A,29
1982,2021-12-02T20:21:08,GI0051_B,0
1984,2021-12-02T20:21:08,GI0051_A,0
1986,2021-12-02T20:21:08,GA495A_B,0
1988,2021-12-02T20:21:08,GA495A_A,0
1990,2021-12-02T20:21:08,GA1331_V,8
1992,2021-12-02T20:21:08,GD025A_B,22
1994,2021-12-02T20:21:08,GD025A_A,0
1996,2021-12-02T20:21:08,GB0351_T,13
1998,2021-12-02T20:21:08,GB0351_S,35
2000,2021-12-02T20:21:08,GA2651_T,0
2002,2021-12-02T20:21:08,DD1701_C,0
2004,2021-12-02T20:21:08,GA2651_R,0
2006,2021-12-02T20:21:08,DD1701_B,0
2008,2021-12-02T20:21:08,DD1701_A,0
2010,2021-12-02T20:21:08,GE1901_G,3
2012,2021-12-02T20:21:08,GE1901_D,30
2014,2021-12-02T20:21:08,GE1901_C,11
2016,2021-12-02T20:21:08,GE1901_B,6
2018,2021-12-02T20:21:08,GA0351_F,0
2020,2021-12-02T20:21:08,GA0351_D,0
2022,2021-12-02T20:21:08,GA0351_C,0
2024,2021-12-02T20:21:08,GA0351_B,0
2026,2021-12-02T20:21:08,GA0351_A,0
2028,2021-12-02T20:21:08,GA5751_W,8
2030,2021-12-02T20:21:08,GA5751_T,1
2032,2021-12-02T20:21:08,GA5751_S,36
2034,2021-12-02T20:21:08,GA5751_R,14
2036,2021-12-02T20:21:08,GD237A_S,32
2038,2021-12-02T20:21:08,GD237A_R,14
2040,2021-12-02T20:21:08,GB1151_V,9
2042,2021-12-02T20:21:08,GL142A_A,16
2044,2021-12-02T20:21:08,GB1151_S,1
2046,2021-12-02T20:21:08,GG2601_W,0
2048,2021-12-02T20:21:08,GG2601_V,18
2050,2021-12-02T20:21:08,GG2601_T,8
2052,2021-12-02T20:21:08,GG2601_R,10
2054,2021-12-02T20:21:08,GG030A_S,28
2056,2021-12-02T20:21:08,GG030A_R,39
2058,2021-12-02T20:21:08,GJ011A_V,9
2060,2021-12-02T20:21:08,GA4771_V,5
2062,2021-12-02T20:21:08,GJ011A_T,0
2064,2021-12-02T20:21:08,GA4771_T,6
